TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,CustomerAge_Bin,Target
TX000098,AC00010,25.360000000000014,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,1,2,6
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,D000092,149.84.108.18,M028,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,2,3,4
TX000100,AC00178,115.01999999999998,2023-09-11 16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,2,0,7
TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,2,0,7
TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,2,0,7
TX000105,AC00170,129.94,2023-01-02 16:36:02,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,2,0,7
TX000105,AC00235,306.9,2023-11-30 16:31:03,Debit,Chicago,D000078,96.115.67.230,M047,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,2,2,4
TX000107,AC00013,114.98000000000002,2023-11-01 16:52:01,Debit,Seattle,D000182,115.196.150.105,M032,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,2,2,4
TX000108,AC00397,756.5899999999999,2023-03-06 16:47:02,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27.0,Student,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,0,0,0
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22.0,Student,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,0,1,2
TX000110,AC00154,143.02999999999997,2023-07-31 16:37:46,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,2,3,6
TX000115,AC00336,327.86,2023-02-10 16:52:48,Debit,Fresno,D000655,188.124.181.12,M051,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,2,0,7
TX000116,AC00468,2.5,2023-07-21 16:43:11,Debit,San Diego,D000673,44.73.3.217,M042,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,1,2,1
TX000118,AC00091,115.82999999999998,2023-05-22 17:09:52,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,2,0,7
TX000121,AC00295,53.56999999999999,2023-08-16 16:17:12,Debit,Houston,D000489,45.64.74.86,M025,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,1,3,6
TX000124,AC00065,331.65,2023-08-25 17:26:07,Debit,Portland,D000037,26.240.219.199,M006,Online,41.0,Engineer,61.0,1.0,4172.57,2024-11-04 08:11:00,2,2,4
TX000125,AC00340,5.039999999999964,2023-11-27 16:38:34,Debit,Washington,D000021,63.67.150.226,M001,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,1,2,6
TX000127,AC00208,598.81,2023-09-04 16:48:35,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,0,2,5
TX000128,AC00176,841.28,2023-08-09 17:34:26,Debit,Tucson,D000276,101.223.82.253,M083,Online,26.0,Student,80.0,1.0,1103.6400000000008,2024-11-04 08:09:58,0,0,2
TX000129,AC00053,38.150000000000006,2023-09-07 16:07:40,Debit,Mesa,D000687,77.21.150.75,M005,Online,26.0,Student,108.0,1.0,303.6800000000003,2024-11-04 08:07:42,1,0,0
TX000131,AC00382,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,D000117,147.234.20.46,M004,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,2,0,7
TX000133,AC00203,208.04,2023-11-20 17:10:02,Debit,Louisville,D000339,65.27.212.129,M055,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,2,2,4
TX000135,AC00349,381.33,2023-08-21 16:46:05,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,2,2,1
TX000136,AC00177,16.159999999999997,2023-10-16 16:59:36,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59,1,2,1
TX000137,AC00284,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03,2,1,2
TX000138,AC00272,336.39,2023-01-16 16:53:38,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,2,1,0
TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,D000553,45.182.28.148,M045,Online,23.0,Student,120.0,1.0,263.97999999999956,2024-11-04 08:08:47,2,1,2
TX000141,AC00403,5.999999999999972,2023-10-23 18:38:15,Debit,Chicago,D000556,18.72.115.111,M090,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,1,0,7
TX000142,AC00163,227.14,2023-07-03 17:42:08,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18.0,Student,294.0,1.0,341.9399999999996,2024-11-04 08:11:34,2,1,8
TX000146,AC00434,45.849999999999994,2023-02-16 17:57:10,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,20.0,Student,92.0,1.0,1659.15,2024-11-04 08:07:23,1,1,0
TX000149,AC00333,415.5,2023-07-28 16:29:23,Debit,Memphis,D000330,140.212.253.222,M077,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23,2,3,1
TX000150,AC00279,265.76,2023-02-06 17:48:39,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,54.0,Retired,92.0,1.0,4446.17,2024-11-04 08:12:18,2,2,4
TX000151,AC00072,69.4,2023-07-24 18:08:43,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04,1,3,4
TX000153,AC00303,267.9,2023-10-09 16:52:47,Debit,San Antonio,D000605,216.32.4.105,M078,Online,20.0,Student,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,2,1,2
TX000154,AC00442,496.03,2023-11-03 16:45:52,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41,2,3,1
TX000155,AC00087,376.26,2023-02-15 16:41:11,Debit,Tucson,D000481,82.88.241.226,M081,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58,2,0,7
TX000159,AC00275,35.75999999999996,2023-09-19 17:38:18,Debit,Charlotte,D000678,111.78.64.133,M057,Branch,23.0,Student,122.0,1.0,611.8599999999997,2024-11-04 08:11:40,1,1,2
TX000160,AC00492,28.529999999999973,2023-05-31 16:37:39,Debit,Washington,D000310,215.97.143.157,M035,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 08:06:30,1,3,4
TX000162,AC00227,307.57,2023-01-09 16:12:01,Debit,Detroit,D000076,128.16.32.183,M049,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 08:06:33,2,0,7
TX000164,AC00062,74.86000000000001,2023-08-14 17:43:17,Debit,Nashville,D000115,161.168.126.136,M028,Branch,70.0,Doctor,125.0,1.0,6921.48,2024-11-04 08:07:39,1,3,4
TX000166,AC00182,231.91,2023-01-31 18:31:22,Debit,Memphis,D000371,161.71.2.223,M044,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,2024-11-04 08:12:15,2,0,7
TX000167,AC00478,126.21,2023-02-14 16:07:01,Debit,Baltimore,D000001,141.121.30.32,M001,Branch,75.0,Retired,268.0,1.0,5669.66,2024-11-04 08:08:42,2,3,4
TX000168,AC00202,304.35,2023-12-04 17:07:34,Debit,Houston,D000281,183.39.94.209,M007,Branch,31.0,Engineer,36.0,1.0,4057.1,2024-11-04 08:08:45,2,0,7
TX000170,AC00331,281.85,2023-05-16 17:26:37,Debit,Detroit,D000148,219.193.239.152,M013,ATM,22.0,Student,109.0,1.0,1585.98,2024-11-04 08:07:38,2,1,0
TX000171,AC00474,777.88,2023-03-20 16:58:12,Debit,Houston,D000436,139.23.212.102,M018,Branch,31.0,Engineer,17.0,1.0,6825.55,2024-11-04 08:09:15,0,0,5
TX000172,AC00268,119.18,2023-08-25 18:01:38,Debit,Los Angeles,D000309,7.105.184.86,M093,Branch,56.0,Retired,96.0,1.0,5516.5,2024-11-04 08:07:34,2,2,6
TX000173,AC00247,177.19,2023-05-15 17:25:28,Debit,Chicago,D000666,130.92.201.49,M088,Online,76.0,Retired,43.0,1.0,5343.3,2024-11-04 08:06:30,2,3,4
TX000174,AC00298,260.88,2023-05-29 16:50:10,Debit,Denver,D000327,184.59.28.72,M094,Branch,22.0,Student,36.0,1.0,903.0500000000002,2024-11-04 08:06:52,2,1,0
TX000175,AC00106,169.47,2023-03-22 16:10:14,Debit,Chicago,D000061,120.170.93.69,M046,Online,24.0,Student,19.0,1.0,1806.1599999999999,2024-11-04 08:07:37,2,1,0
TX000176,AC00035,73.23000000000002,2023-05-19 16:52:53,Debit,Portland,D000059,155.37.19.43,M022,Branch,26.0,Student,14.0,1.0,787.7399999999998,2024-11-04 08:11:12,1,0,0
TX000178,AC00273,792.57,2023-05-22 16:22:36,Debit,Baltimore,D000424,110.235.207.187,M059,ATM,19.000000000000004,Student,164.0,1.0,770.3699999999999,2024-11-04 08:10:39,0,1,2
TX000179,AC00156,237.06,2023-12-18 16:47:17,Debit,Phoenix,D000455,61.95.76.233,M049,Online,71.0,Retired,46.0,1.0,1182.77,2024-11-04 08:07:50,2,3,4
TX000180,AC00036,740.25,2023-07-19 17:03:58,Debit,Philadelphia,D000030,1.198.76.182,M010,Online,41.0,Doctor,123.0,1.0,14464.3,2024-11-04 08:08:27,0,2,5
TX000182,AC00149,453.54,2023-04-19 16:36:03,Debit,Albuquerque,D000150,223.32.70.156,M017,ATM,58.0,Doctor,82.0,1.0,12046.3,2024-11-04 08:12:06,2,2,1
TX000183,AC00225,300.47,2023-11-13 16:11:52,Debit,Jacksonville,D000272,156.173.170.140,M065,Branch,73.0,Retired,100.0,1.0,7885.64,2024-11-04 08:08:00,2,3,4
TX000185,AC00440,201.69,2023-01-03 16:46:36,Debit,Las Vegas,D000626,193.108.17.115,M019,ATM,59.0,Doctor,299.0,1.0,7328.52,2024-11-04 08:10:16,2,2,1
TX000186,AC00321,399.21,2023-01-30 16:15:49,Debit,Portland,D000301,30.229.179.194,M062,ATM,59.0,Engineer,109.0,1.0,3210.39,2024-11-04 08:08:21,2,2,6
TX000188,AC00258,630.36,2023-03-02 16:11:53,Debit,Mesa,D000091,200.22.195.243,M084,ATM,62.0,Retired,52.0,1.0,1363.65,2024-11-04 08:12:15,0,3,5
TX000190,AC00113,215.9,2023-01-04 16:02:09,Debit,Los Angeles,D000414,147.119.62.178,M083,ATM,38.0,Doctor,235.0,1.0,7873.28,2024-11-04 08:10:23,2,0,7
TX000198,AC00107,20.359999999999985,2023-07-24 17:02:18,Debit,Tucson,D000082,96.115.67.230,M069,Branch,62.0,Retired,75.0,1.0,2762.48,2024-11-04 08:11:15,1,3,6
TX000200,AC00358,493.11,2023-07-31 16:25:26,Debit,Chicago,D000232,35.220.238.127,M022,Branch,53.0,Retired,236.0,1.0,7432.99,2024-11-04 08:08:01,2,2,4
TX000201,AC00113,307.41,2023-06-12 17:32:52,Debit,Los Angeles,D000014,1.7.29.72,M007,ATM,19.000000000000004,Student,14.0,1.0,1057.0000000000005,2024-11-04 08:09:48,2,1,0
TX000202,AC00010,11.180000000000007,2023-11-30 16:52:42,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43.0,Doctor,161.0,1.0,5956.89,2024-11-04 08:10:20,1,2,4
TX000203,AC00499,313.82,2023-11-15 18:57:38,Debit,Tucson,D000357,179.43.245.131,M097,Branch,59.0,Engineer,151.0,1.0,7261.59,2024-11-04 08:08:42,2,2,6
TX000206,AC00020,288.04,2023-08-24 16:47:21,Debit,Denver,D000582,205.69.66.135,M092,ATM,68.0,Retired,63.0,1.0,1748.02,2024-11-04 08:10:00,2,3,6
TX000207,AC00181,800.55,2023-05-04 16:21:31,Debit,Oklahoma City,D000657,8.244.162.185,M062,ATM,31.0,Engineer,108.0,1.0,9660.22,2024-11-04 08:06:49,0,0,5
TX000208,AC00370,485.54,2023-02-06 17:46:59,Debit,Houston,D000589,140.212.253.222,M061,ATM,46.0,Engineer,143.0,1.0,6371.51,2024-11-04 08:11:46,2,2,6
TX000208,AC00453,521.15,2023-02-17 18:01:18,Debit,Kansas City,D000108,166.7.230.111,M084,ATM,54.0,Doctor,214.0,1.0,9442.47,2024-11-04 08:07:31,0,2,5
TX000211,AC00249,304.93,2023-02-24 16:23:22,Debit,Portland,D000700,21.190.11.223,M098,ATM,65.0,Doctor,158.0,1.0,13531.22,2024-11-04 08:08:15,2,3,1
TX000213,AC00301,694.2,2023-12-07 16:20:08,Debit,Milwaukee,D000007,27.143.109.203,M035,ATM,61.0,Retired,72.0,1.0,1389.37,2024-11-04 08:07:23,0,3,5
TX000214,AC00380,116.86000000000001,2023-03-20 18:28:48,Debit,Louisville,D000531,184.146.10.88,M088,ATM,55.0,Engineer,171.0,1.0,6706.56,2024-11-04 08:12:15,2,2,6
TX000216,AC00006,74.88,2023-05-24 16:25:50,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25.0,Student,202.0,1.0,420.6700000000001,2024-11-04 08:07:46,1,1,8
TX000220,AC00417,361.27,2023-01-06 17:01:53,Debit,Omaha,D000676,78.100.105.143,M088,ATM,63.0,Doctor,180.0,1.0,7945.57,2024-11-04 08:10:07,2,3,1
TX000221,AC00391,131.56,2023-10-19 16:42:37,Debit,Charlotte,D000203,27.215.118.94,M014,Branch,44.0,Doctor,42.000000000000014,1.0,5873.54,2024-11-04 08:07:12,2,2,4
TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64.0,Retired,131.0,1.0,6155.76,2024-11-04 08:10:31,0,3,5
TX000224,AC00047,457.3,2023-06-26 18:25:21,Debit,Virginia Beach,D000214,62.27.235.199,M042,Online,28.0,Engineer,15.0,1.0,8318.29,2024-11-04 08:07:53,2,0,7
TX000224,AC00198,506.24,2023-01-13 16:44:26,Debit,Chicago,D000315,136.104.90.223,M077,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,2024-11-04 08:11:40,0,2,5
TX000226,AC00314,486.5899999999999,2023-12-19 16:55:17,Debit,Indianapolis,D000029,129.102.184.189,M017,Branch,57.0,Retired,119.0,1.0,2513.56,2024-11-04 08:10:02,2,2,4
TX000227,AC00212,163.68,2023-09-28 16:20:57,Debit,San Diego,D000440,35.67.21.23,M087,Branch,41.0,Doctor,292.0,1.0,10090.05,2024-11-04 08:11:01,2,2,1
TX000228,AC00115,581.65,2023-01-09 16:54:30,Debit,Boston,D000666,80.92.209.207,M009,ATM,22.0,Student,176.0,1.0,480.1899999999996,2024-11-04 08:09:39,0,1,0
TX000231,AC00401,523.74,2023-11-02 16:36:37,Debit,Oklahoma City,D000551,216.151.64.40,M099,ATM,43.0,Doctor,159.0,1.0,13498.55,2024-11-04 08:06:52,0,2,1
TX000234,AC00345,91.48000000000002,2023-01-23 16:50:31,Debit,Fort Worth,D000295,160.74.183.38,M081,ATM,51.0,Doctor,141.0,1.0,14942.78,2024-11-04 08:09:17,1,2,1
TX000235,AC00430,5.250000000000028,2023-11-13 18:26:24,Debit,San Jose,D000571,93.170.203.44,M010,ATM,39.0,Doctor,49.0,1.0,14143.32,2024-11-04 08:12:22,1,0,1
TX000237,AC00177,736.73,2023-11-27 16:05:27,Debit,Memphis,D000167,107.247.202.71,M037,Branch,48.0,Engineer,10.0,1.0,3313.07,2024-11-04 08:10:54,0,2,5
TX000242,AC00215,588.54,2023-02-06 17:57:28,Debit,Portland,D000609,211.97.88.141,M031,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,2024-11-04 08:10:37,0,0,7
TX000243,AC00202,173.5,2023-10-23 17:16:20,Debit,Nashville,D000235,32.13.122.242,M052,ATM,21.0,Student,282.0,1.0,1306.9099999999999,2024-11-04 08:11:52,2,1,2
TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59.0,Retired,156.0,1.0,1153.8400000000001,2024-11-04 08:11:28,1,2,6
TX000247,AC00415,34.06999999999999,2023-11-06 17:22:58,Debit,Philadelphia,D000158,29.168.185.63,M080,Branch,22.0,Student,81.0,1.0,8709.77,2024-11-04 08:07:21,1,1,2
